Batch Size,Resolution,CPU Memory (MB),GPU Memory (MB),Peak Activation (MB),Total Parameters,Weight Memory (FP32)
1,64,9.796875,,0,11689512,44.59 MB
1,128,0.34375,,0,11689512,44.59 MB
1,224,8.59375,,0,11689512,44.59 MB
1,384,6.99609375,,0,11689512,44.59 MB
4,64,0.171875,,0,11689512,44.59 MB
4,128,0.171875,,0,11689512,44.59 MB
4,224,11.4375,,0,11689512,44.59 MB
4,384,41.3515625,,0,11689512,44.59 MB
8,64,0.171875,,0,11689512,44.59 MB
8,128,0.171875,,0,11689512,44.59 MB
8,224,14.26953125,,0,11689512,44.59 MB
8,384,32.53515625,,0,11689512,44.59 MB
16,64,0.171875,,0,11689512,44.59 MB
16,128,0.171875,,0,11689512,44.59 MB
16,224,4.15625,,0,11689512,44.59 MB
16,384,5.77734375,,0,11689512,44.59 MB
32,64,0.0,,0,11689512,44.59 MB
32,128,16.01171875,,0,11689512,44.59 MB
32,224,98.30078125,,0,11689512,44.59 MB
32,384,23.51171875,,0,11689512,44.59 MB
