variant,method,ratio,nm_pattern,accuracy,nonzero_params,total_params,weight_sparsity,dense_weight_mb,effective_nonzero_weight_mb,gmacs_per_image,gflops_per_image,infer_ms_per_image,infer_images_per_s,effective_gflops_per_s,peak_cpu_rss_mb,peak_gpu_allocated_mb
baseline,baseline,0.0,,0.096,11176842,11181642,0.000429275056382572,42.69127655029297,42.636268615722656,1.823526912,3.647053824,11.876075000145647,84.20290373610271,307.0925220626573,891.4765625,
fine@0.3,fine,0.3,,0.096,7825233,11181642,0.30017138806626076,42.69127655029297,29.850894927978516,1.823526912,3.647053824,9.739342333584014,102.67633745162816,374.4661291372749,1006.828125,
fine@0.5,fine,0.5,,0.096,5590826,11181642,0.49999955283848296,42.69127655029297,21.327308654785156,1.823526912,3.647053824,14.006812583223413,71.39383025641,260.377141646647,1053.6015625,
fine@0.8,fine,0.8,,0.106,2239217,11181642,0.7997416658483611,42.69127655029297,8.541934967041016,1.823526912,3.647053824,11.415747499995632,87.59829349767789,319.47569127658045,1053.5703125,
channel@0.3,channel,0.3,,0.106,7819169,11181642,0.30071370555415744,42.69127655029297,29.827762603759766,1.823526912,3.647053824,10.607578749841196,94.27222022885957,343.81586128263245,1058.2265625,
channel@0.5,channel,0.5,,0.134,5590826,11181642,0.49999955283848296,42.69127655029297,21.327308654785156,1.823526912,3.647053824,12.507677499949446,79.95089416112957,291.5852142825669,1058.375,
channel@0.8,channel,0.8,,0.106,2233153,11181642,0.8002839833362578,42.69127655029297,8.518802642822266,1.823526912,3.647053824,10.122080166487043,98.79392215355857,360.30675157809407,1033.8515625,
nm@1:4,nm,0.25,1:4,0.096,8383882,11181642,0.2502101211968689,42.69127655029297,31.981971740722656,1.823526912,3.647053824,10.986401999919812,91.02161016930738,331.9607114346098,1053.9296875,
nm@2:4,nm,0.5,2:4,0.106,5590858,11181642,0.49999669100477373,42.69127655029297,21.327430725097656,1.823526912,3.647053824,10.736230083542372,93.14256421654987,339.6959450031338,1058.67578125,
nm@3:4,nm,0.75,3:4,0.112,2797834,11181642,0.7497832608126784,42.69127655029297,10.672889709472656,1.823526912,3.647053824,11.994441916916307,83.37194901829109,304.06198548149155,1053.828125,
act_channel@0.3,act_channel,0.3,,0.08,7845281,11181642,0.29837844924743606,42.69127655029297,29.927371978759766,1.823526912,3.647053824,10.867910833439964,92.01400483734693,335.5800282036006,1010.06640625,
act_channel@0.5,act_channel,0.5,,0.084,5593386,11181642,0.4997706061417455,42.69127655029297,21.337074279785156,1.823526912,3.647053824,12.668363166691657,78.93679608343199,287.88674401038884,1032.0,
act_channel@0.8,act_channel,0.8,,0.106,2261825,11181642,0.7977197803327991,42.69127655029297,8.628177642822266,1.823526912,3.647053824,13.540442416645723,73.85283059663297,269.3452482406745,1030.4921875,
