layer,method,bits,num_weights,accuracy,accuracy_drop
conv1,linear,4,1728,0.9149,0.0015999999999999348
layer1.0.conv1,linear,4,36864,0.9169,-0.00040000000000006697
layer1.0.conv2,linear,4,36864,0.9172,-0.0007000000000000339
layer1.1.conv1,linear,4,36864,0.9166,-9.999999999998899e-05
layer1.1.conv2,linear,4,36864,0.9178,-0.0012999999999999678
layer2.0.conv1,linear,4,73728,0.9167,-0.00019999999999997797
layer2.0.conv2,linear,4,147456,0.9176,-0.0010999999999999899
layer2.0.downsample.0,linear,4,8192,0.9159,0.0005999999999999339
layer2.1.conv1,linear,4,147456,0.9167,-0.00019999999999997797
layer2.1.conv2,linear,4,147456,0.917,-0.000500000000000056
layer3.0.conv1,linear,4,294912,0.9164,9.999999999998899e-05
layer3.0.conv2,linear,4,589824,0.917,-0.000500000000000056
layer3.0.downsample.0,linear,4,32768,0.9179,-0.0014000000000000679
layer3.1.conv1,linear,4,589824,0.9165,0.0
layer3.1.conv2,linear,4,589824,0.9173,-0.0008000000000000229
layer4.0.conv1,linear,4,1179648,0.9176,-0.0010999999999999899
layer4.0.conv2,linear,4,2359296,0.9165,0.0
layer4.0.downsample.0,linear,4,131072,0.9168,-0.00029999999999996696
layer4.1.conv1,linear,4,2359296,0.9155,0.0010000000000000009
layer4.1.conv2,linear,4,2359296,0.917,-0.000500000000000056
fc,linear,4,5120,0.9168,-0.00029999999999996696
conv1,kmeans,4,1728,0.9201,-0.0036000000000000476
layer1.0.conv1,kmeans,4,36864,0.9138,0.0027000000000000357
layer1.0.conv2,kmeans,4,36864,0.9157,0.0008000000000000229
layer1.1.conv1,kmeans,4,36864,0.9173,-0.0008000000000000229
layer1.1.conv2,kmeans,4,36864,0.9179,-0.0014000000000000679
layer2.0.conv1,kmeans,4,73728,0.9181,-0.0016000000000000458
layer2.0.conv2,kmeans,4,147456,0.9181,-0.0016000000000000458
layer2.0.downsample.0,kmeans,4,8192,0.9168,-0.00029999999999996696
layer2.1.conv1,kmeans,4,147456,0.9166,-9.999999999998899e-05
layer2.1.conv2,kmeans,4,147456,0.9175,-0.0010000000000000009
layer3.0.conv1,kmeans,4,294912,0.9169,-0.00040000000000006697
layer3.0.conv2,kmeans,4,589824,0.917,-0.000500000000000056
layer3.0.downsample.0,kmeans,4,32768,0.9166,-9.999999999998899e-05
layer3.1.conv1,kmeans,4,589824,0.9172,-0.0007000000000000339
layer3.1.conv2,kmeans,4,589824,0.9167,-0.00019999999999997797
layer4.0.conv1,kmeans,4,1179648,0.9168,-0.00029999999999996696
layer4.0.conv2,kmeans,4,2359296,0.9167,-0.00019999999999997797
layer4.0.downsample.0,kmeans,4,131072,0.9167,-0.00019999999999997797
layer4.1.conv1,kmeans,4,2359296,0.9176,-0.0010999999999999899
layer4.1.conv2,kmeans,4,2359296,0.9169,-0.00040000000000006697
fc,kmeans,4,5120,0.917,-0.000500000000000056
